category,station_scope,public_status,next_check
ENTS boards,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 SPARE-01,received_assignment_pending,record serial revision station assignment and power-on test
D10 meter pool,IH-01 IH-02,received_size_switch_allocation_unverified,inspect body and ports resolve 5/8 x 1/2 against design identify D10-C-SRS and allocate
pressure sensors,IH-01 IH-02,vendor_ordered_not_observed,inspect remaining inventory then verify exact SEN0257 labels
IH-01 valve path,IH-01,received_body_solenoid_driver_unverified,allocate CP075 body identify latching solenoid and bench-test reversing driver
IH-02 valve path,IH-02,vendor_ordered_not_observed,inspect remaining inventory for exact DIG 305DC-075 assembly
Watermark hardware pool,SM-01 SM-02 SM-03 SM-04,received_model_completeness_allocation_unverified,read labels count 200SS-15 200TS and VA3 parts then assign only after SM-01 test
Polycase enclosure pool,field stations,received_model_count_allocation_unverified,count units identify SKU and test final gland and ingress layout
solar panels,field stations,vendor_ordered_not_observed,inspect remaining inventory then verify voltage polarity power and fit
LiPo batteries,field stations,shipment_cartons_only,open cartons and verify count labels voltage capacity protection connector and polarity
LoRaWAN gateway,GW-01,vendor_ordered_delivery_unverified,verify exact RAKwireless US915 model serial site backhaul owner and sub-band
HOBO cloud path,HOBO-EXT-01,vendor_ordered_activation_unverified,verify MX Gateway delivery plan entitlement account ownership MX1104 upload and API readback
iPERL Signalizer pilot,IPERL-PILOT-01,vendor_ordered_compatibility_unverified,verify delivery meter-owner approval register cable power protected logger and scaled outputs
bench and installation materials,reference stations,partially_received_inventory_unverified,count support items and assign only after the build plan is frozen
MET-01 receiver,MET-01,required_not_purchased,select a WeatherLink Live regional SKU that matches the reported 6162 transmitter
