station_type,applies_to,field_name,display_name,unit,storage_type,source,transformation,required,confidence,notes
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,station_id,Station ID,text,tag,approved station mapping,none,yes,high,stable identity never inferred from location or protected serial
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,station_type,Station type,text,tag,normalized contract,validate against station ID,yes,high,one of the five approved record shapes
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,source_system,Source system,text,tag,normalized adapter,validate exact path for station type,yes,high,canonical tag; data_source is migration alias only
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,observed_at,Observed at,ISO-8601 UTC,timestamp,source or adapter,normalize to UTC nanoseconds,yes,working,WeatherLink response ts is not a per-sensor sample time
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,quality_flags,Quality flags,array,JSON array input,decoder and validation rules,sort and deduplicate,yes,working,machine-readable names only
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,record_count,Record count,count,integer,telemetry encoder,set to one,yes,high,dashboard reporting-station count
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,quality_flag_count,Quality flag count,count,integer,telemetry encoder,count unique flags,yes,high,dashboard diagnostic field
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 MET-01 HOBO-EXT-01 IPERL-PILOT-01,quality_state,Quality state,text,string,telemetry encoder,sorted comma-delimited flags or ok,yes,high,keeps quality visible in Grafana
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04,firmware_version,Firmware version,text,string,node firmware,none,conditional,working,ENTS station traceability
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04 HOBO-EXT-01,battery_v,Battery voltage,volt,float,station health source,normalize numeric input,conditional,working,publish only when the source exposes a supported reading
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04,rssi_dbm,Radio signal strength,dBm,float,LoRaWAN metadata,normalize numeric input,conditional,high,NodeFlow LoRaWAN path only
all,IH-01 IH-02 SM-01 SM-02 SM-03 SM-04,snr_db,Radio signal-to-noise ratio,dB,float,LoRaWAN metadata,normalize numeric input,conditional,high,NodeFlow LoRaWAN path only
irrigation_head,IH-01 IH-02,pulse_count,Flow pulse count,count,integer,D10-C-SRS,cumulative debounced GPIO interrupts,yes,high,verify exact switch and pulse rate
irrigation_head,IH-01 IH-02,volume_total_gal,Total volume,gallon,float,D10-C-SRS,pulse count divided by verified pulses per gallon,yes,high,preserve reset or mark reset boundary
irrigation_head,IH-01 IH-02,flow_rate_gpm,Flow rate,gallon/minute,float,D10-C-SRS,pulse delta divided by elapsed minutes,yes,working,low-flow resolution depends on reporting window
irrigation_head,IH-01 IH-02,pressure_raw_v,Pressure raw voltage,volt,float,SEN0257 after divider,ADC conversion,yes,high,diagnostic field
irrigation_head,IH-01 IH-02,pressure_mpa,Line pressure,MPa,float,SEN0257,invert divider then apply sensor transfer function,yes,high,bench-calibrate against reference
irrigation_head,IH-01 IH-02,pressure_psi,Line pressure,psi,float,SEN0257,pressure_mpa multiplied by 145.0377,yes,high,display companion to MPa
irrigation_head,IH-01 IH-02,valve_command,Valve command,enum,string,controller,validate open closed or unknown,yes,high,commanded state is not measured valve position
irrigation_head,IH-01 IH-02,valve_pulse_ms,Valve drive pulse,millisecond,integer,controller,record commanded pulse duration,conditional,working,diagnostic field
irrigation_head,IH-01 IH-02,valve_position_feedback_available,Position feedback available,Boolean,Boolean,station design,none,yes,high,false for current design
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_shallow_raw_v,Shallow raw voltage,volt,float,VA3 channel 1,ADC conversion,yes,high,depth stored separately after site approval
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_shallow_kpa,Shallow soil tension,kPa,float,200SS shallow,manufacturer conversion plus calibration,yes,working,centibar numerically equals kPa
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_middle_raw_v,Middle raw voltage,volt,float,VA3 channel 2,ADC conversion,yes,high,depth stored separately after site approval
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_middle_kpa,Middle soil tension,kPa,float,200SS middle,manufacturer conversion plus calibration,yes,working,centibar numerically equals kPa
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_deep_raw_v,Deep raw voltage,volt,float,VA3 channel 3,ADC conversion,yes,high,depth stored separately after site approval
soil_profile,SM-01 SM-02 SM-03 SM-04,tension_deep_kpa,Deep soil tension,kPa,float,200SS deep,manufacturer conversion plus calibration,yes,working,centibar numerically equals kPa
soil_profile,SM-01 SM-02 SM-03 SM-04,soil_temp_raw_v,Soil temperature raw voltage,volt,float,VA3 channel 4,ADC conversion,yes,high,fourth ADC resource gate remains open
soil_profile,SM-01 SM-02 SM-03 SM-04,soil_temp_c,Soil temperature,degree Celsius,float,200TS,manufacturer conversion plus calibration,yes,working,compare against reference thermometer
met_sandbox,MET-01,received_at,Received at,ISO-8601 UTC,string,Green Grid ingestion service,normalize to UTC,yes,working,must not precede observed_at
met_sandbox,MET-01,ingest_latency_s,Ingest latency,second,float,telemetry encoder,received_at minus observed_at,yes,high,diagnostic field
met_sandbox,MET-01,air_temp_c,Air temperature,degree Celsius,float,WeatherLink temp in degree F,(temp_f - 32) multiplied by 5/9,yes,working,retain source_temp_f and verify reference
met_sandbox,MET-01,relative_humidity_pct,Relative humidity,percent,float,Davis 6162 T/RH assembly,WeatherLink field mapping,yes,working,verify channel and reference
